taxon,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,mean_abundance
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Brevibacteriaceae; g__Brevibacterium,11.203689308141422,9.978802703034834,7.835732582557581,1.2248866051065885,3.3679567255838414,1.2248866051065885,G25,0.0008982680251771708
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae,11.440840534142433,0.0,10.205305912693174,11.440840534142433,1.2355346214492595,1.2355346214492595,G50,0.000989636488883001
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia,0.06596671221823297,-1.1754419026143454,-4.175038609429633,1.2414086148325785,4.241005321647866,1.2414086148325785,G25,0.0005798672403449838
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus,8.206161663339259,0.0,6.964119970331883,8.206161663339259,1.2420416930073763,1.2420416930073763,G50,0.00010454532186639597
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_RC9_gut_group,7.116031675159371,0.0,8.392232919191711,7.116031675159371,1.2762012440323405,1.2762012440323405,G50,0.00011817507232544198
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__UCG-010; g__UCG-010,3.747436804605752,-5.4271838232010365,2.4693164661286335,9.174620627806789,1.2781203384771183,1.2781203384771183,G50,0.00021404573113940103
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium,10.757223931082649,9.42308201422837,0.0,1.3341419168542785,10.757223931082649,1.3341419168542785,G25,0.0006038211538597371
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014,12.33728073289649,9.657231997672731,10.986705813104866,2.6800487352237585,1.3505749197916241,1.3505749197916241,G50,0.002002110612877887
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propioniciclava,0.9544674016089517,-10.432570135543346,-0.40544068354315466,11.387037537152297,1.3599080851521064,1.3599080851521064,G50,0.0012751614648797173
d__Bacteria; p__Firmicutes,9.627376020066318,0.0,8.188836207851423,9.627376020066318,1.438539812214895,1.438539812214895,G50,0.00027017836954976437
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia,-0.36030991911426885,-1.855949417118665,1.2997632579672591,1.495639498004396,1.660073177081528,1.495639498004396,G25,0.01578080908800855
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus,1.7585243085826108,-0.21594127576813243,0.2136969643228126,1.9744655843507433,1.5448273442597982,1.5448273442597982,G50,0.0021603863347133623
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Sedimentibacteraceae; g__Sedimentibacter,0.9786301623930016,-10.39433070203306,-0.6217774482504719,11.37296086442606,1.6004076106434735,1.6004076106434735,G50,0.0012174244162644506
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Domibacillus,2.0599701297626734,-2.5996049064974134,0.4586383653149729,4.659575036260087,1.6013317644477005,1.6013317644477005,G50,0.001116040334706425
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__uncultured,9.872309633733227,0.0,8.225850764182002,9.872309633733227,1.6464588695512248,1.6464588695512248,G50,0.00030866153874738465
d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella,8.990950129437671,10.646617726973881,0.0,1.65566759753621,8.990950129437671,1.65566759753621,G25,0.0005274659768325332
d__Bacteria; p__Firmicutes; c__Clostridia,9.546423515635144,0.0,7.8857938994725485,9.546423515635144,1.6606296161625957,1.6606296161625957,G50,0.0002455679638468462
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus,10.924053113613391,9.193962462551019,9.192843301219026,1.7300906510623726,1.7312098123943649,1.7300906510623726,G25,0.000777719421821205
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium,2.653481917084148,-8.134663849656325,0.893847576046914,10.788145766740474,1.759634341037234,1.759634341037234,G50,0.0006421408610986558
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2,11.314691562529157,9.550000869996442,0.0,1.7646906925327155,11.314691562529157,1.7646906925327155,G25,0.00082370089139042
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pirellula,8.41961250397651,0.0,6.625016085349395,8.41961250397651,1.7945964186271146,1.7945964186271146,G50,0.0001097800161155217
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Romboutsia,5.763042455255565,3.9307446558062655,3.740121906358164,1.8322977994492997,2.0229205488974014,1.8322977994492997,G25,0.027922729837774104
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium,1.7563085589782998,-0.14935150398238364,-0.6658168851892601,1.9056600629606835,2.42212544416756,1.9056600629606835,G25,0.015072040030273593
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas,8.363885847822127,10.967769576732623,6.405057707390356,2.603883728910496,1.9588281404317707,1.9588281404317707,G50,0.0006034855882570291
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45; g__JG30-KF-CM45,2.5490768069671175,0.5533760595742496,0.2907951371545455,1.9957007473928678,2.258281669812572,1.9957007473928678,G25,0.002360627792254879
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae,1.7330251699172492,-9.134592802485137,-0.2991638262895381,10.867617972402387,2.0321889962067874,2.0321889962067874,G50,0.0007210768389370955
d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella,-2.823735958486007,-0.2763677063516402,-0.7769194796898076,2.547368252134367,2.0468164787961998,2.0468164787961998,G50,0.0015443396747354635
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus,3.39083905358164,1.2282490932886205,1.2785226702798171,2.16258996029302,2.112316383301823,2.112316383301823,G50,0.035592154994722326
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Leucobacter,-0.7761309571221997,-10.357540471900844,1.341857619702126,9.581409514778644,2.1179885768243256,2.1179885768243256,G50,0.0013501746256804371
