feature,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,verified_name,id_system,verification_status,source_type,source_note
DTDPRHAMSYN-PWY,0.123076948190948,-0.826657808216596,-0.361232992522526,0.949734756407544,0.484309940713474,0.484309940713474,G50,,,,,
ASPASN-PWY,0.974042039630663,0.488883072171013,0.193975806915581,0.48515896745965,0.780066232715083,0.48515896745965,G25,,,,,
PWY-7199,1.17293168291977,0.292323146996306,0.683226185251899,0.880608535923466,0.489705497667874,0.489705497667874,G50,,,,,
PWY-5837,0.854526847519953,-0.598336648208912,0.361859204966752,1.45286349572887,0.492667642553201,0.492667642553201,G50,,,,,
ARGSYNBSUB-PWY,0.380189524945013,-0.635094012595431,-0.114696030708269,1.01528353754044,0.494885555653282,0.494885555653282,G50,,,,,
PWY-841,-0.508039593184667,0.184792781538463,-0.0130399108460937,0.69283237472313,0.494999682338573,0.494999682338573,G50,,,,,
P184-PWY,0.661178637879181,1.15618173372842,-3.43316514128295,0.495003095849241,4.09434377916213,0.495003095849241,G25,,,,,
PWY-5860,18.0793296730296,15.4819620345285,17.5834942357393,2.59736763850113,0.495835437290314,0.495835437290314,G50,,,,,
PWY-5862,18.0793296730296,15.4819620345285,17.5834942357393,2.59736763850113,0.495835437290314,0.495835437290314,G50,,,,,
PWY-7234,-0.512862360447373,0.19389720319862,-0.016314274136234,0.706759563645992,0.496548086311139,0.496548086311139,G50,,,,,
PWY0-162,-0.581547148938119,0.0934635731565308,-0.0848854542996268,0.67501072209465,0.496661694638492,0.496661694638492,G50,,,,,
PWY-7208,-0.664139801751562,-0.0161068266385095,-0.166615219602345,0.648032975113052,0.497524582149216,0.497524582149216,G50,superpathway of pyrimidine nucleobases salvage,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from BioCyc/MetaCyc PWY-7208 pages.
PWY0-1338,12.6041926791677,14.3986318246229,12.1059657915283,1.79443914545512,0.498226887639465,0.498226887639465,G50,,,,,
FUC-RHAMCAT-PWY,2.02266142235505,1.52155621553037,1.03223208022494,0.501105206824678,0.990429342130116,0.501105206824678,G25,,,,,
PWY-6612,0.776464499393186,-0.29204970606325,0.273520006081208,1.06851420545644,0.502944493311978,0.502944493311978,G50,,,,,
DENOVOPURINE2-PWY,-0.534674491299232,0.169983179396459,-0.030801392706535,0.704657670695692,0.503873098592697,0.503873098592697,G50,,,,,
1CMET2-PWY,0.316121770152991,-0.322521780214143,-0.202281484924428,0.638643550367134,0.518403255077419,0.518403255077419,G50,,,,,
P4-PWY,1.02120804557653,-0.0225619776129561,0.49586288757398,1.04377002318949,0.525345158002554,0.525345158002554,G50,,,,,
PWY0-1586,-0.654731587830772,-0.0440901860968492,-0.12387288471512,0.610641401733923,0.530858703115652,0.530858703115652,G50,,,,,
PWY-2941,-0.604137673190549,0.143533649199593,-0.071545932028105,0.747671322390142,0.532591741162444,0.532591741162444,G50,,,,,
PWY0-781,1.07454330571461,0.0929663437765258,0.537289627883456,0.981576961938082,0.537253677831152,0.537253677831152,G50,,,,,
PANTOSYN-PWY,1.28645337247169,0.44954907822122,0.740764105562382,0.836904294250471,0.54568926690931,0.54568926690931,G50,,,,,
PWY-7323,1.95839553851592,1.41171546078399,0.967400234152638,0.546680077731924,0.990995304363278,0.546680077731924,G25,,,,,
PWY-5100,-0.717840647173556,-0.00284696186888844,-0.166656083959132,0.714993685304667,0.551184563214423,0.551184563214423,G50,,,,,
PWY0-845,2.77960356106923,2.22773473449713,1.23692751420313,0.551868826572097,1.5426760468661,0.551868826572097,G25,,,,,
POLYISOPRENSYN-PWY,-0.67198491204524,0.00517418814187609,-0.118740916691406,0.677159100187116,0.553243995353835,0.553243995353835,G50,,,,,
PWY0-166,-0.656208917181354,0.0825214887184914,-0.0998371977192657,0.738730405899845,0.556371719462088,0.556371719462088,G50,,,,,
PWY-7187,-0.671253137650318,0.0738720313276413,-0.113479904875571,0.74512516897796,0.557773232774747,0.557773232774747,G50,,,,,
PWY-5347,1.28714792752779,0.405650971460365,0.728877190744004,0.881496956067429,0.558270736783791,0.558270736783791,G50,,,,,
PWY-6125,-0.608719765345819,0.141470466327896,-0.0475874901120516,0.750190231673715,0.561132275233768,0.561132275233768,G50,,,,,
HCAMHPDEG-PWY,2.12078140644878,2.68257164969206,0.701828587852759,0.561790243243281,1.41895281859602,0.561790243243281,G25,,,,,
PWY-6690,2.12078140644878,2.68257164969206,0.701828587852759,0.561790243243281,1.41895281859602,0.561790243243281,G25,,,,,
PWY-621,-0.732532810232303,0.00478624351860192,-0.161688508511925,0.737319053750905,0.570844301720378,0.570844301720378,G50,sucrose degradation III (sucrose invertase),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from pathway pages referencing MetaCyc.
METHGLYUT-PWY,1.33589194759029,-1.9134033410307,0.764451442424536,3.24929528862099,0.571440505165758,0.571440505165758,G50,,,,,
PWY-6151,-0.709461018073501,0.0629767641239645,-0.137523259142297,0.772437782197466,0.571937758931204,0.571937758931204,G50,,,,,
PWY-7228,-0.593145371280929,0.15907882677839,-0.0210185667328971,0.752224198059319,0.572126804548032,0.572126804548032,G50,,,,,
PWY-7197,-0.573022984660947,0.211022902706127,0.000164809297466722,0.784045887367073,0.573187793958413,0.573187793958413,G50,,,,,
PYRIDNUCSAL-PWY,1.06810311504806,0.137322172983993,0.493647208037787,0.930780942064064,0.574455907010269,0.574455907010269,G50,,,,,
PWY0-1297,0.63911086149221,-0.607006484459665,0.0620886529127901,1.24611734595188,0.57702220857942,0.57702220857942,G50,,,,,
PWY-6895,1.29161439610403,0.513554699589213,0.710076037930348,0.778059696514819,0.581538358173684,0.581538358173684,G50,,,,,
PWY-6737,0.453007342903821,-0.397694737595143,-0.128807836787484,0.850702080498964,0.581815179691305,0.581815179691305,G50,,,,,
FASYN-ELONG-PWY,-0.512184903664407,0.345116209376638,0.0738208323425539,0.857301113041045,0.58600573600696,0.58600573600696,G50,,,,,
GLYCOCAT-PWY,0.479398306951748,-0.421476284948283,-0.106994389977877,0.900874591900032,0.586392696929626,0.586392696929626,G50,,,,,
PWY-7254,1.25962596623948,-0.00473292065567939,0.672491064197264,1.26435888689516,0.587134902042212,0.587134902042212,G50,,,,,
PYRIDNUCSYN-PWY,1.46775493771302,0.439871729526302,0.877439887090341,1.02788320818672,0.590315050622682,0.590315050622682,G50,,,,,
PWY-6897,0.387153834493554,-0.890406483462096,-0.207589108103286,1.27756031795565,0.59474294259684,0.59474294259684,G50,,,,,
PWY-6471,-0.757769461920829,-0.0207559613416071,-0.162431272458868,0.737013500579222,0.595338189461961,0.595338189461961,G50,,,,,
PWY-7184,-0.610859191314848,0.197472933791691,-0.0114225999467658,0.808332125106539,0.599436591368082,0.599436591368082,G50,,,,,
THRESYN-PWY,0.327914645591449,-0.725451368078936,-0.275651046826827,1.05336601367039,0.603565692418277,0.603565692418277,G50,,,,,
PWY-5971,1.3574352442642,0.750757653308216,0.0826177364512418,0.606677590955979,1.27481750781295,0.606677590955979,G25,,,,,
PWY-7007,1.13204058320305,-0.00327354372607974,0.513916425301384,1.13531412692913,0.618124157901666,0.618124157901666,G50,,,,,
PWY-3001,0.575662457230085,-0.453101802116469,-0.0520502947102084,1.02876425934655,0.627712751940294,0.627712751940294,G50,,,,,
GLUTORN-PWY,0.396414036443356,-0.656325024855642,-0.231636703795527,1.052739061299,0.628050740238883,0.628050740238883,G50,,,,,
P161-PWY,-0.836459013011572,-0.0525514871808697,-0.206846696287604,0.783907525830702,0.629612316723968,0.629612316723968,G50,,,,,
PWY-5531,15.9834588747032,15.32897115519,15.3440480597511,0.654487719513178,0.639410814952102,0.639410814952102,G50,,,,,
