feature,kw_statistic,kw_pvalue,mean_NC,mean_PC,mean_G25,mean_G50,kw_qvalue,verified_name,id_system,verification_status,source_type,source_note
PWY-6122,7.69105263157896,0.0528474507348843,0.012234676032498,0.00928061715810559,0.0145467287720272,0.0125567846692891,0.270926804400356,,,,,
PWY-6277,7.69105263157896,0.0528474507348843,0.012234676032498,0.00928061715810559,0.0145467287720272,0.0125567846692891,0.270926804400356,,,,,
PWY-7197,7.58263157894737,0.055472876466631,0.0100336043117833,0.00674465659426422,0.0116139833594425,0.0100347505872277,0.275734860853265,,,,,
LACTOSECAT-PWY,7.56999999999999,0.055786870350787,0.000444861867433972,0.000736063957366568,0.000295323241931321,0.000681831975487275,0.275734860853265,,,,,
PWY-6121,7.50684210526316,0.0573829094042846,0.0118033912943331,0.00902308626072173,0.014061682869339,0.0120915750438371,0.275734860853265,,,,,
TRPSYN-PWY,7.48789473684211,0.0578703050970201,0.00116402605891514,0.00314451289522059,0.00135538294258881,0.00156856208357331,0.275734860853265,,,,,
PWY-5103,7.45894736842105,0.0586227051653417,0.00282176941121545,0.00477686641699623,0.00224165858839076,0.00285026464074912,0.275734860853265,,,,,
ARGSYN-PWY,7.45157894736842,0.0588157358448569,0.0038896433193283,0.00470959224633125,0.00249417332869604,0.00348995164224567,0.275734860853265,,,,,
PWY-2941,7.37263157894736,0.0609230067938969,0.010833892241267,0.00712723255404502,0.0119671972446673,0.0103097239745887,0.275734860853265,,,,,
PWY-6151,7.32526315789474,0.0622223237260358,0.0112061635505333,0.00685311287164238,0.0117061707142903,0.0101872819604546,0.275734860853265,,,,,
PWY-6609,7.29368421052631,0.0631034170647729,0.00335557776783534,0.00679336331224105,0.00311650133422091,0.00410487215057389,0.275734860853265,,,,,
PWY-7371,7.26684210526317,0.0638618434340721,1.58209588323809e-05,0.000273864020812859,0.000160900589883001,8.0399795483115e-05,0.275734860853265,"1,4-dihydroxy-6-naphthoate biosynthesis II",MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-derived references listing PWY-7371.
PWY-5005,7.26057945566286,0.0640400619492554,0.000146057911086058,0.00163976511427065,0.000589129294425362,0.000454920188403316,0.275734860853265,,,,,
